Generation,N_Total,C0,mu0_A,alpha_A,mu_bar_A,p_A,epsilon_A,R_A,s_A,mu0_B,alpha_B,mu_bar_B,p_B,epsilon_B,R_B,s_B,mu0_C,alpha_C,mu_bar_C,p_C,epsilon_C,R_C,s_C,C_bar,f_abc,f_abC,f_aBc,f_aBC,f_Abc,f_AbC,f_ABc,f_ABC,var_fitness
660,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
670,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
680,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
690,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
700,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
710,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
720,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
730,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
740,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
750,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
760,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
